

                             *[TYMNET]*

TYMNET ACCESS SORTED BY NODE #               9/25/1985            PAGE 1

NODE   CITY                 NODE #          DEN   ACCESS #       MODEM
2357   BLOOMFIELD           CONNECTICUT     HIGH  203/242-7140   VADIC 3467   
2357   HARTFORD/BLOOMFIELD  CONNECTICUT     HIGH  203/242-7140   VADIC 3467   
2357   NORWICH/NEW LONDON   CONNECTICUT     LOW   203/444-1709   VADIC 3467   
2357   PITTSFIELD           MASSACHUSETTS   LOW   413/442-6965   VADIC 3467   
2364   MESA/PHOENIX         ARIZONA         HIGH  602/254-5811   VADIC 3467   
2364   PHOENIX              ARIZONA         HIGH  602/254-5811   VADIC 3467   
2365   HOLYOKE/SPRINGFIELD  MASSACHUSETTS   MED   413/781-6830   VADIC 3467   
2365   SPRINGFIELD          MASSACHUSETTS   MED   413/781-6830   VADIC 3467   
2414   AURORA/DENVER        COLORADO        HIGH  303/830-9210   VADIC 3467   
2414   BOULDER/DENVER       COLORADO        HIGH  303/830-9210   VADIC 3467   
2414   DENVER               COLORADO        HIGH  303/830-9210   VADIC 3467   
2432   CHATTANOOGA          TENNESSEE       MED   615/265-1020   VADIC 3467   
2432   ROME                 GEORGIA         LOW   404/291-1000   VADIC 3467   
2434   HOUSTON              TEXAS           HIGH  713/556-6700   VADIC 3467   
2440   BELOIT               WISCONSIN       LOW   608/365-6883   VADIC 3467   
2440   BROOKFIELD           WISCONSIN       HIGH  414/785-1614   VADIC 3467   
2440   JANESVILLE/BELOIT    WISCONSIN       LOW   608/365-6883   VADIC 3467   
2440   MILWAUKEE/BROOKFIELD WISCONSIN       HIGH  414/785-1614   VADIC 3467   
2440   RACINE               WISCONSIN       LOW   414/632-3006   VADIC 3467   
2440   WEST BEND            WISCONSIN       LOW   414/334-1240   VADIC 3467   
2450   NORRISTOWN           PENNSYLVANIA    MED   215/666-9190   VADIC 3467   
2450   READING              PENNSYLVANIA    LOW   215/372-4473   VADIC 3467   
2450   VAL FORGE/NORRISTOWN PENNSYLVANIA    MED   215/666-9190   VADIC 3467   
2452   ROCHESTER            NEW YORK        HIGH  716/248-8000   VADIC 3467   
2453   DALLAS               TEXAS           HIGH  214/638-8888   VADIC 3467   
2456   MONTEREY             CALIFORNIA      LOW   408/373-4611   VADIC 3467   
2456   SALINAS              CALIFORNIA      LOW   408/443-4333   VADIC 3467   
2463   DALLAS               TEXAS           HIGH  214/630-5516   2400 BPS     
2465   DOWNERS GROVE/ELLYN  ILLINOIS        MED   312/790-4400   VADIC 3467   
2465   GLEN ELLYN           ILLINOIS        MED   312/790-4400   VADIC 3467   
2465   WHEATON/GLEN ELLYN   ILLINOIS        MED   312/790-4400   VADIC 3467   
2470   LOS ALTOS/STA CLARA  CALIFORNIA      HIGH  408/980-8100   VADIC 3467   
2470   SAN JOSE/SANTA CLARA CALIFORNIA      HIGH  408/980-8100   VADIC 3467   
2470   SANTA CLARA          CALIFORNIA      HIGH  408/980-8100   VADIC 3467   
2470   SUNNYVALE/STA CLARA  CALIFORNIA      HIGH  408/980-8100   VADIC 3467   
2473   HOUSTON              TEXAS           HIGH  713/496-1332   2400 BPS     
2476   NEW YORK             NEW YORK        HIGH  212/785-5400   VADIC 3467   
2503   BELLEVUE/SEATTLE     WASHINGTON      HIGH  206/285-0109   VADIC 3467   
2503   SEATTLE              WASHINGTON      HIGH  206/285-0109   VADIC 3467   
2540   MEDFORD              OREGON          LOW   503/773-1257   VADIC 3467   
2540   PORTLAND             OREGON          HIGH  503/226-0627   VADIC 3467   
2540   VANCOUVER            WASHINGTON      LOW   206/693-0371   VADIC 3467   
2544   ALEXANDRIA/FAIRFAX   VIRGINIA        HIGH  703/691-8200   VADIC 3467   
2544   ARLINGTON/FAIRFAX    VIRGINIA        HIGH  703/691-8200   VADIC 3467   
2544   BETHESDA/FAIRFAX     MARYLAND        HIGH  703/691-8200   VADIC 3467   
2544   FAIRFAX              VIRGINIA        HIGH  703/691-8200   VADIC 3467   
2544   FREDERICK/MYRSVIL    MARYLAND        LOW   301/293-1072   VADIC 3467   
2544   HAGERSTOWN/MYRSVIL   MARYLAND        LOW   301/293-1072   VADIC 3467   
2544   MYERSVILLE           MARYLAND        LOW   301/293-1072   VADIC 3467   
2544   WASHINGTON/FAIRFAX   D.C.            HIGH  703/691-8200   VADIC 3467   
2545   FAIRFAX              VIRGINIA        HIGH  703/691-8200   VADIC 3467   
2554   LAWRENCE             MASSACHUSETTS   LOW   617/681-8802   VADIC 3467   
2554   LOWELL               MASSACHUSETTS   LOW   617/452-0819   VADIC 3467   
2554   SALEM                NEW HAMPSHIRE   LOW   603/893-6200   VADIC 3467   
2564   RICHLAND             WASHINGTON      MED   509/375-3367   VADIC 3467   
2565   BOISE                IDAHO           MED   208/343-0404   VADIC 3467   
2570   DAVENPORT/ROCKISLAND IOWA            MED   309/794-0731   VADIC 3467   
2570   ROCK ISLAND          ILLINOIS        MED   309/794-0731   VADIC 3467   
2573   LOS ANGELES          CALIFORNIA      HIGH  213/623-8500   VADIC 3467   
2606   EATONTOWN            NEW JERSEY      LOW   201/542-2180   VADIC 3467   
2606   ELIZABETH/NEWARK     NEW JERSEY      HIGH  201/824-1212   VADIC 3467   
2606   JERSEY CITY/NEWARK   NEW JERSEY      HIGH  201/824-1212   VADIC 3467   
2606   JERSEY CITY/NEWARK   NEW JERSEY      HIGH  201/824-1212   VADIC 3467   
2606   LONG BRANCH/EATNTOWN NEW JERSEY      LOW   201/542-2180   VADIC 3467   
2606   NEWARK               NEW JERSEY      HIGH  201/824-1212   VADIC 3467   
2606   TRENTON              NEW JERSEY      LOW   609/989-8480   VADIC 3467   
2606   UNION/NEWARK         NEW JERSEY      HIGH  201/824-1212   VADIC 3467   
2613   CHAPEL HILL/DURHAM   NORTH CAROLINA  MED   919/549-8952   VADIC 3467   
2613   DURHAM               NORTH CAROLINA  MED   919/549-8952   VADIC 3467   
2613   LYNCHBURG            VIRGINIA        LOW   804/528-1903   VADIC 3467   
2616   MIDLOTHIAN           VIRGINIA        MED   804/744-4860   VADIC 3467   
2616   PETERSBURG           VIRGINIA        LOW   804/862-4700   VADIC 3467   
2616   RICHMOND/MIDLOTHIAN  VIRGINIA        MED   804/744-4860   VADIC 3467   
2631   ANAHEIM/NEWPRT BEACH CALIFORNIA      HIGH  714/756-8341   VADIC 3467   
2631   CORONA               CALIFORNIA      LOW   714/371-2291   VADIC 3467   
2631   IRVINE/NEWPORT BEACH CALIFORNIA      HIGH  714/756-8341   VADIC 3467   
2631   NEWPORT BEACH        CALIFORNIA      HIGH  714/756-8341   VADIC 3467   
2631   SAN CLEMENTE         CALIFORNIA      LOW   714/498-9504   VADIC 3467   
2631   SANTA ANA/NEWP BEACH CALIFORNIA      HIGH  714/756-8341   VADIC 3467   
2653   STAMFORD             CONNECTICUT     HIGH  203/965-0000   VADIC 3467   
2655   COLTON/RIVERSIDE     CALIFORNIA      MED   714/370-1200   VADIC 3467   
2655   RIVERSIDE            CALIFORNIA      MED   714/370-1200   VADIC 3467   
2655   SAN BERNADINO/RIVRSD CALIFORNIA      MED   714/370-1200   VADIC 3467   
2657 * NEWPORT              RHODE ISLAND    LOW   401/849-8832   VADIC 3467   
2657   PAWTUCKET/PROVDENCE  RHODE ISLAND    HIGH  401/273-0200   VADIC 3467   
2657   PROVIDENCE           RHODE ISLAND    HIGH  401/273-0200   VADIC 3467   
2657   TAUNTON              MASSACHUSETTS   LOW   617/822-7799   VADIC 3467   
2657   WARWICK/PROVIDENCE   RHODE ISLAND    HIGH  401/273-0200   VADIC 3467   
2657   WOONSOCKET           RHODE ISLAND    LOW   401/765-2400   VADIC 3467   
2675   FAIRFIELD/WESTPORT   CONNECTICUT     MED   203/226-5250   VADIC 3467   
2675   NORWALK/WESTPORT     CONNECTICUT     MED   203/226-5250   VADIC 3467   
2675   WESTPORT             CONNECTICUT     MED   203/226-5250   VADIC 3467   
2676   BAKERSFIELD          CALIFORNIA      LOW   805/322-5078   VADIC 3467   
2703   BELLEVUE/SEATTLE     WASHINGTON      HIGH  206/281-7141   2400 BPS     
2703   SEATTLE              WASHINGTON      HIGH  206/281-7141   2400 BPS     
2706   MIDLAND              TEXAS           MED   915/683-5645   VADIC 3467   
2706   ODESSA               TEXAS           LOW   915/563-3745   VADIC 3467   
2710   EL PASO              TEXAS           MED   915/533-1453   VADIC 3467   
2710   LAS CRUCES           NEW MEXICO      LOW   505/524-1944   VADIC 3467   
2711   PORTLAND             OREGON          HIGH  503/227-7181   2400 BPS     
2721   ABILENE              TEXAS           LOW   915/672-1363   VADIC 3467   
2721   ALBANY               GEORGIA         LOW   912/883-2246   VADIC 3467   
2721   ANNAPOLIS            MARYLAND        LOW   301/263-2344   VADIC 3467   
2721 + BLOOMINGTON          INDIANA         LOW   812/332-3051   VADIC 3467   
2721   BUTLER               PENNSYLVANIA    LOW   412/285-9387   VADIC 3467   
2721   BUTLER               PENNSYLVANIA    LOW   412/285-9527   VADIC 3467   
2721   CHEYENNE             WYOMING         LOW   307/632-7464   VADIC 3467   
2721 + CLARKESVILLE         TENNESSEE       LOW   615/552-0193   VADIC 3467   
2721   DANVILLE             ILLINOIS        LOW   217/431-3133   VADIC 3467   
2721   DULUTH               MINNESOTA       LOW   218/722-7441   VADIC 3467   
2721   FALL RIVER           MASSACHUSETTS   LOW   617/675-1750   VADIC 3467   
2721   FLORENCE             ALABAMA         LOW   205/767-7131   VADIC 3467   
2721   FORT COLLINS         COLORADO        LOW   303/221-0687   VADIC 3467   
2721   GALVESTON/TEXAS CITY TEXAS           LOW   409/765-7338   VADIC 3467   
2721   GRAND ISLAND         NEBRASKA        LOW   308/382-4075   VADIC 3467   
2721   GULFPORT             MISSISSIPPI     LOW   601/868-0109   VADIC 3467   
2721   INDEPENDENCE/MISSION MISSOURI        HIGH  913/384-1544   VADIC 3467   
2721   KANKAKEE             ILLINOIS        LOW   815/932-0850   VADIC 3467   
2721   KANSAS CITY/MISSION  MISSOURI        HIGH  913/384-1544   VADIC 3467   
2721   KANSAS CITY/MISSION  KANSAS          HIGH  913/384-1544   VADIC 3467   
2721   LAREDO               TEXAS           LOW   512/727-4626   VADIC 3467   
2721   LAWRENCE             KANSAS          LOW   913/749-0271   VADIC 3467   
2721   LEAVENWORTH          KANSAS          LOW   913/682-2660   VADIC 3467   
2721 + LYNN                 MASSACHUSETTS   LOW   617/599-0015   VADIC 3467   
2721   MERCED               CALIFORNIA      LOW   209/384-7227   VADIC 3467   
2721   MISSION              KANSAS          HIGH  913/384-1544   VADIC 3467   
2721   NEWARK               OHIO            LOW   614/349-9234   VADIC 3467   
2721   OWENSBORO            KENTUCKY        LOW   502/685-1318   VADIC 3467   
2721   PINE BLUFF           ARKANSAS        LOW   501/535-8055   VADIC 3467   
2721   ROCKY MTN            NORTH CAROLINA  LOW   919/977-0617   VADIC 3467   
2721   ROLLA                MISSOURI        LOW   314/364-3486   VADIC 3467   
2721 + SALEM/LYNN           MASSACHUSETTS   LOW   617/599-0015   VADIC 3467   
2721   SHAWNEE/MISSION      KANSAS          HIGH  913/384-1544   VADIC 3467   
2721 + SHEBOYGAN            WISCONSIN       LOW   414/452-2622   VADIC 3467   
2721 + SHERMAN              TEXAS           LOW   214/893-1024   VADIC 3467   
2721   SLIDELL              LOUISIANA       LOW   504/649-6050   VADIC 3467   
2721   ST JOSEPH            MISSOURI        LOW   816/232-1897   VADIC 3467   
2721   ST. CLOUD            MINNESOTA       LOW   612/252-9093   VADIC 3467   
2721   STEUBENVILLE         OHIO            LOW   614/283-2496   VADIC 3467   
2721   TEXAS CITY           TEXAS           LOW   409/765-7338   VADIC 3467   
2721   VINELAND             NEW JERSEY      LOW   609/696-7121   VADIC 3467   
2721   VISALIA              CALIFORNIA      LOW   209/625-5523   VADIC 3467   
2721 + WAUSAU               WISCONSIN       LOW   715/355-1262   VADIC 3467   
2721   WHEELING             WEST VIRGINIA   LOW   304/233-7950   VADIC 3467   
2723   BATON ROUGE          LOUISIANA       MED   504/924-5102   VADIC 3467   
2732   PLEASANTON           CALIFORNIA      LOW   415/462-8900   VADIC 3467   
2735   SAN ANTONIO          TEXAS           HIGH  512/222-9877   2400 BPS     
2737   OGDEN                UTAH            LOW   801/627-3450   VADIC 3467   
2737   SALT LAKE            UTAH            HIGH  801/364-0780   VADIC 3467   
2744   ELIZABETH/NEWARK     NEW JERSEY      HIGH  201/824-3044   2400 BPS     
2744   JERSEY CITY/NEWARK   NEW JERSEY      HIGH  201/824-3044   2400 BPS     
2744   NEWARK               NEW JERSEY      HIGH  201/824-3044   2400 BPS     
2753   SAN ANTONIO          TEXAS           HIGH  512/225-8002   VADIC 3467   
2754   AUSTIN               TEXAS           HIGH  512/444-3280   VADIC 3467   
2754   BRYAN                TEXAS           LOW   409/779-0184   VADIC 3467   
2754   COLLEGE STATN/BRYAN  TEXAS           LOW   409/779-0184   VADIC 3467   
2754   KILLEEN              TEXAS           LOW   817/634-2810   VADIC 3467   
2776   MISSOULA             MONTANA         LOW   406/728-2415   VADIC 3467   
2776   SPOKANE              WASHINGTON      MED   509/747-4105   VADIC 3467   
3001   DALLAS               TEXAS           HIGH  214/638-8888   VADIC 3467   
3003   FITCHBURG            MASSACHUSETTS   LOW   617/343-8480   VADIC 3467   
3003   HANOVER              NEW HAMPSHIRE   LOW   603/643-1457   VADIC 3467   
3003   NASHUA               NEW HAMPSHIRE   MED   603/882-0435   VADIC 3467   
3006   KING OF PRUSSIA      PENNSYLVANIA    MED   215/337-9900   VADIC 3467   
3017   DUBUQUE              IOWA            LOW   319/556-8263   VADIC 3467   
3017   IOWA CITY            IOWA            LOW   319/354-7371   VADIC 3467   
3026 * MERIDEN              CONNECTICUT     LOW   203/634-9249   VADIC 3467   
3026 * MIDDLETOWN/MERIDEN   CONNECTICUT     LOW   203/634-9249   VADIC 3467   
3031   JOPLIN               MISSOURI        LOW   417/782-3037   VADIC 3467   
3031   TULSA                OKLAHOMA        HIGH  918/582-4433   VADIC 3467   
3036   BURLINGAME           CALIFORNIA      LOW   415/952-4757   VADIC 3467   
3036   FAIRFIELD            CALIFORNIA      LOW   707/447-3436   VADIC 3467   
3036   NAPA                 CALIFORNIA      LOW   707/257-2656   VADIC 3467   
3036   SAN FRANCISCO        CALIFORNIA      HIGH  415/974-1300   VADIC 3467   
3036   SAN MATEO/BURLINGAME CALIFORNIA      LOW   415/952-4757   VADIC 3467   
3036   SAN RAFAEL           CALIFORNIA      LOW   415/492-9320   VADIC 3467   
3041   SAN FRANCISCO        CALIFORNIA      HIGH  415/543-0691   2400 BPS     
3055   SAN LOUIS OBISPO     CALIFORNIA      LOW   805/546-8541   VADIC 3467   
3055   SANTA BARBARA        CALIFORNIA      MED   805/963-8731   VADIC 3467   
3055   SANTA BARBARA        CALIFORNIA      MED   805/963-9241   VADIC 3467   
3066   LA CROSSE            WISCONSIN       LOW   608/785-1450   BELL 212A    
3066   MADISON              WISCONSIN       MED   608/221-0891   BELL 212A    
3073   DAYTON               OHIO            MED   513/223-3847   VADIC 3467   
3073   SPRINGFIELD          OHIO            LOW   513/324-3816   VADIC 3467   
3076   BOWLING GREEN        KENTUCKY        LOW   502/782-0436   VADIC 3467   
3076   LOUISVILLE           KENTUCKY        MED   502/499-7110   VADIC 3467   
3076   TERRE HAUTE          INDIANA         LOW   812/232-3605   VADIC 3467   
3077   ARDMORE              OKLAHOMA        LOW   405/223-1552   VADIC 3467   
3077   ENID            OKLAHOMA        LOW   405/233-7903   VADIC 3467   
3077   LAWTON               OKLAHOMA        LOW   405/355-0745   VADIC 3467   
3077   OKLAHOMA CITY        OKLAHOMA        HIGH  405/947-6387   VADIC 3467   
3100   JACKSONVILLE         FLORIDA         MED   904/721-8100   VADIC 3467   
3100   MERRITT ISLE         FLORIDA         LOW   305/459-0671   VADIC 3467   
3106   MISHAWAKA/SOUTH BND  INDIANA         MED   219/234-5005   VADIC 3467   
3106   SOUTH BEND           INDIANA         MED   219/234-5005   VADIC 3467   
3107   BOULDER CITY         NEVADA          MED   702/293-0300   VADIC 3467   
3107   LAS VEGAS/BOLDR CTY  NEVADA          MED   702/293-0300   VADIC 3467   
3110   CINCINNATI           OHIO            HIGH  513/489-2100   VADIC 3467   
3110   HAMILTON             OHIO            LOW   513/894-1521   VADIC 3467   
3111   AKRON                OHIO            MED   216/535-1861   VADIC 3467   
3111   CANTON               OHIO            LOW   216/455-0066   VADIC 3467   
3111   MANSFIELD            OHIO            LOW   419/526-6067   VADIC 3467   
3111   NORTH CANTON/CANTON  OHIO            MED   216/455-0066   VADIC 3467   
3111   WARREN               OHIO            LOW   216/394-6529   VADIC 3467   
3114   TULSA                OKLAHOMA        HIGH  918/582-9653   2400 BPS     
3122   HUNTSVILLE           ALABAMA         MED   205/882-3003   VADIC 3467   
3123 * LANCASTER            PENNSYLVANIA    LOW   717/393-7732   VADIC 3467   
3125   HOLLYWOOD/MIAMI      FLORIDA         HIGH  305/624-0304   2400 BPS     
3125   MIAMI                FLORIDA         HIGH  305/624-0304   2400 BPS     
3127   BROWNSVILLE          TEXAS           LOW   512/541-2251   VADIC 3467   
3127   CORPUS CHRISTI       TEXAS           MED   512/883-8050   VADIC 3467   
3151   CHICAGO              ILLINOIS        HIGH  312/922-4601   VADIC 3467   
3152   CHICAGO              ILLINOIS        HIGH  312/922-4601   VADIC 3467   
3152   CICERO/FOREST PARK   ILLINOIS        LOW   312/771-9667   VADIC 3467   
3152   FOREST PARK          ILLINOIS        LOW   312/771-9667   VADIC 3467   
3152   LAKE FORST/LIBRTYVLE ILLINOIS        LOW   312/362-0820   VADIC 3467   
3152   LAKE ZURICH          ILLINOIS        LOW   312/438-3771   VADIC 3467   
3152   LIBERTYVILLE         ILLINOIS        LOW   312/362-0820   VADIC 3467   
3152   MAYWOOD/FOREST PARK  ILLINOIS        LOW   312/771-9667   VADIC 3467   
3152   PALATINE/LAKE ZURICH ILLINOIS        LOW   312/438-3771   VADIC 3467   
3165   PASCAGOULA           MISSISSIPPI     LOW   601/769-6502   BELL 113     
3165   PASCAGOULA           MISSISSIPPI     LOW   601/769-6673   BELL 212A    
3200   BALTIMORE            MARYLAND        HIGH  301/528-9296   2400 BPS     
3214   GREELEY              COLORADO        LOW   303/356-0425   VADIC 3467   
3220   FREMONT              CALIFORNIA      MED   415/490-7366   VADIC 3467   
3235   AUGUSTA/MARTINEZ     GEORGIA         LOW   404/868-8500   VADIC 3467   
3235   MARTINEZ             GEORGIA         LOW   404/868-8500   VADIC 3467   
3250   OMAHA                NEBRASKA        MED   402/397-0414   VADIC 3467   
3266   COLUMBIA             SOUTH CAROLINA  MED   803/254-7563   VADIC 3467   
3267   INDEPENDENCE/MISSION MISSOURI        HIGH  913/384-0055   2400 BPS     
3267   KANSAS CITY/MISSION  KANSAS          HIGH  913/384-0055   2400 BPS     
3267   KANSAS CITY/MISSION  MISSOURI        HIGH  913/384-0055   2400 BPS     
3267   MISSION              KANSAS          HIGH  913/384-0055   2400 BPS     
3267   SHAWNEE/MISSION      KANSAS          HIGH  913/384-0055   2400 BPS     
3271   ATLANTA/NORCROSS     GEORGIA         HIGH  404/446-0270   VADIC 3467   
3271   MACON                GEORGIA         LOW   912/744-0605   VADIC 3467   
3271   MARIETTA             GEORGIA         LOW   404/424-0025   VADIC 3467   
3271   WARNER ROBINS/MACON  GEORGIA         LOW   912/744-0605   VADIC 3467   
3272   ATLANTA/NORCROSS     GEORGIA         HIGH  404/446-0270   VADIC 3467   
3300   CHICO                CALIFORNIA      LOW   916/893-1876   VADIC 3467   
3300   DAVIS                CALIFORNIA      LOW   916/753-3722   VADIC 3467   
3300   REDDING              CALIFORNIA      LOW   916/223-0449   VADIC 3467   
3300   SACRAMENTO           CALIFORNIA      HIGH  916/448-4300   VADIC 3467   
3300 * VALLEJO              CALIFORNIA      LOW   707/644-8973   VADIC 3467   
3300   WOODLAND/DAVIS       CALIFORNIA      LOW   916/753-3722   VADIC 3467   
3302 * NEW BEDFORD          MASSACHUSETTS   LOW   617/999-4521   VADIC 3467   
3322   MAYAQUEZ             PUERTO RICO     INTL  800/462-4213   VADIC 3467   
3322   PONCE                PUERTO RICO     INTL  800/462-4213   VADIC 3467   
3322   SAN JUAN             PUERTO RICO     INTL  809/792-5900   VADIC 3467   
3344   JACKSON              MICHIGAN        MED   517/789-8133   VADIC 3467   
3354   PRINCETON            NEW JERSEY      HIGH  609/452-1018   VADIC 3467   
3356   WATERBURY            CONNECTICUT     LOW   203/755-5994   VADIC 3467   
3360   LEXINGTON            KENTUCKY        MED   606/253-3463   VADIC 3467   
3361   FREEPORT             ILLINOIS        LOW   815/233-5585   VADIC 3467   
3361   ROCKFORD             ILLINOIS        MED   815/398-6090   VADIC 3467   
3377   POUGHKEEPSIE         NEW YORK        LOW   914/473-0401   VADIC 3467   
3401 * ATLANTIC CITY        NEW JERSEY      LOW   609/345-0044   VADIC 3467   
3401   CAMDEN/PENNSAUKIN    NEW JERSEY      LOW   609/665-5600   VADIC 3467   
3401   CHERRY HILL/PENNSKN  NEW JERSEY      LOW   609/665-5600   VADIC 3467   
3401   PENNSAUKIN           NEW JERSEY      LOW   609/665-5600   VADIC 3467   
3406   LONG BEACH           CALIFORNIA      MED   213/435-0900   VADIC 3467   
3406   NORWALK/LONG BEACH   CALIFORNIA      MED   213/435-0900   VADIC 3467   
3406   SAN PEDRO/LONG BEACH CALIFORNIA      MED   213/435-0900   VADIC 3467   
3407   ALHAMBRA             CALIFORNIA      MED   818/308-1800   VADIC 3467   
3407   ARCADIA/ALHAMBRA     CALIFORNIA      MED   818/308-1800   VADIC 3467   
3407   EL MONTE/ALHAMBRA    CALIFORNIA      MED   818/308-1800   VADIC 3467   
3407   PASADENA/ALHAMBRA    CALIFORNIA      MED   818/308-1800   VADIC 3467   
3410   BEVERLY HILLS/SHRMAN CALIFORNIA      MED   818/789-9002   VADIC 3467   
3410   CANOGA PARK/SHRMNOAK CALIFORNIA      MED   818/789-9002   VADIC 3467   
3410 * LANCASTER            CALIFORNIA      LOW   805/945-8751   VADIC 3467   
3410   SAN FERNANDO/SHRMOAK CALIFORNIA      MED   818/789-9002   VADIC 3467   
3410   SHERMAN OAKS         CALIFORNIA      MED   818/789-9002   VADIC 3467   
3410   THOUSAND OAKS        CALIFORNIA      LOW   805/496-3473   VADIC 3467   
3410   VAN NUYS/SHERMAN OAK CALIFORNIA      MED   818/789-9002   VADIC 3467   
3410   WEST LA/SHEMNOAKS    CALIFORNIA      MED   818/789-9002   VADIC 3467   
3415   NEW HAVEN/NO. HAVEN  CONNECTICUT     MED   203/773-0082   VADIC 3467   
3415   NORTH HAVEN          CONNECTICUT     MED   203/773-0082   VADIC 3467   
3420   JOHNSON CITY         TENNESSEE       LOW   615/928-1191   VADIC 3467   
3420   KNOXVILLE            TENNESSEE       MED   615/690-1543   VADIC 3467   
3420   OAKRIDGE             TENNESSEE       LOW   615/482-9080   VADIC 3467   
3437   GREENSBORO           NORTH CAROLINA  MED   919/273-0332   VADIC 3467   
3437   HIGH POINT           NORTH CAROLINA  LOW   919/884-4364   VADIC 3467   
3456   CLEARWATER           FLORIDA         MED   813/796-2166   VADIC 3467   
3456   MELBOURNE            FLORIDA         LOW   305/676-4336   VADIC 3467   
3456   ST.PETERSBURG/CLEAR  FLORIDA         MED   813/796-2166   VADIC 3467   
3456   ST.PETERSBURG/CLEAR  FLORIDA         MED   813/796-2166   VADIC 3467   
3457   LEVITTOWN            PENNSYLVANIA    LOW   215/736-0495   VADIC 3467   
3457   PHILADELPHIA         PENNSYLVANIA    HIGH  215/567-4390   VADIC 3467   
3505   SANTA CRUZ           CALIFORNIA      MED   408/475-0981   VADIC 3467   
3514   DOTHAN               ALABAMA         LOW   205/792-0914   VADIC 3467   
3514   PANAMA CITY          FLORIDA         LOW   904/769-9446   VADIC 3467   
3514   TALLAHASSEE          FLORIDA         LOW   904/878-2267   VADIC 3467   
3515   PENSACOLA            FLORIDA         LOW   904/477-3344   VADIC 3467   
3516   BATTLE CREEK         MICHIGAN        LOW   616/962-1851   VADIC 3467   
3516   KALAMAZOO            MICHIGAN        MED   616/388-2130   VADIC 3467   
3521   IDAHO FALLS          IDAHO           LOW   208/523-2964   VADIC 3467   
3521   POCATELLO            IDAHO           LOW   208/233-2501   VADIC 3467   
3522   MODESTO              CALIFORNIA      LOW   209/571-0408   VADIC 3467   
3522   STOCKTON             CALIFORNIA      LOW   209/467-0601   VADIC 3467   
3532   DES MOINES           IOWA            MED   515/277-7752   VADIC 3467   
3543   COLUMBUS             OHIO            HIGH  614/221-1862   VADIC 3467   
